NO_OF_FRAMES	1756
NO_OF_CAMERAS	2
NO_OF_MARKERS	2
FREQUENCY	500
NO_OF_ANALOG	0
ANALOG_FREQUENCY	0
DESCRIPTION	--
TIME_STAMP	2023-09-23, 11:30:20.760	122502.14475260
DATA_INCLUDED	3D
MARKER_NAMES	a	b
TRAJECTORY_TYPES	Measured	Measured
a X	a Y	a Z	b X	b Y	b Z	
-475.852	48.883	397.802	600.952	81.276	401.317
-475.644	48.894	397.808	600.789	81.285	401.330
-475.413	48.887	397.814	600.604	81.297	401.316
-475.161	48.895	397.816	600.396	81.316	401.304
-474.881	48.901	397.844	600.148	81.324	401.313
-474.572	48.921	397.832	599.880	81.335	401.300
-474.212	48.940	397.842	599.588	81.346	401.286
-473.837	48.964	397.826	599.250	81.370	401.318
-473.432	48.980	397.832	598.915	81.377	401.322
-472.995	49.011	397.844	598.516	81.393	401.310
-472.516	49.051	397.806	598.104	81.434	401.302
-472.019	49.082	397.787	597.663	81.446	401.311
-471.477	49.165	397.759	597.178	81.468	401.295
-470.909	49.217	397.714	596.684	81.481	401.290
-470.320	49.262	397.732	596.143	81.499	401.287
-469.704	49.319	397.728	595.578	81.502	401.248
-469.044	49.378	397.722	595.010	81.503	401.273
-468.356	49.457	397.739	594.390	81.510	401.249
-467.634	49.502	397.765	593.756	81.499	401.254
-466.880	49.548	397.796	593.086	81.519	401.230
-466.086	49.617	397.780	592.405	81.506	401.243
-465.265	49.667	397.809	591.698	81.512	401.215
-464.392	49.753	397.747	590.963	81.494	401.214
-463.533	49.843	397.745	590.190	81.476	401.207
-462.619	49.936	397.699	589.400	81.448	401.219
-461.681	50.037	397.699	588.573	81.431	401.200
-460.740	50.098	397.748	587.717	81.382	401.165
-459.768	50.160	397.758	586.849	81.361	401.169
-458.782	50.224	397.804	585.944	81.325	401.130
-457.784	50.283	397.799	585.029	81.303	401.140
-456.750	50.323	397.844	584.071	81.275	401.132
-455.728	50.362	397.839	583.079	81.257	401.094
-454.659	50.431	397.781	582.075	81.245	401.062
-453.598	50.481	397.762	581.042	81.198	401.087
-452.522	50.513	397.736	579.959	81.118	401.111
-451.427	50.550	397.727	578.878	81.105	401.074
-450.311	50.613	397.733	577.753	81.071	401.086
-449.204	50.644	397.672	576.612	81.046	401.089
-448.075	50.668	397.675	575.442	81.027	401.083
-446.934	50.670	397.687	574.269	81.020	401.037
-445.781	50.668	397.692	573.061	80.981	401.029
-444.607	50.672	397.714	571.837	80.949	401.015
-443.429	50.664	397.720	570.573	80.871	400.993
-442.256	50.666	397.701	569.333	80.839	400.975
-441.067	50.664	397.717	568.051	80.791	400.978
-439.855	50.663	397.687	566.769	80.779	400.956
-438.630	50.670	397.650	565.497	80.743	400.959
-437.392	50.690	397.665	564.187	80.685	400.927
-436.180	50.708	397.640	562.871	80.626	400.950
-434.966	50.706	397.616	561.550	80.553	400.929
-433.718	50.718	397.600	560.205	80.498	400.916
-432.468	50.723	397.584	558.866	80.448	400.920
-431.225	50.731	397.592	557.544	80.424	400.872
-430.007	50.742	397.617	556.215	80.372	400.843
-428.750	50.743	397.633	554.866	80.292	400.862
-427.500	50.718	397.642	553.535	80.212	400.836
-426.258	50.722	397.627	552.199	80.132	400.865
-425.030	50.717	397.625	550.875	80.088	400.864
-423.782	50.688	397.657	549.564	80.049	400.831
-422.533	50.654	397.676	548.230	79.971	400.841
-421.293	50.640	397.642	546.884	79.852	400.857
-420.059	50.630	397.629	545.568	79.775	400.853
-418.829	50.614	397.650	544.236	79.705	400.844
-417.601	50.625	397.627	542.922	79.651	400.820
-416.367	50.610	397.590	541.595	79.590	400.802
-415.124	50.596	397.608	540.235	79.499	400.797
-413.890	50.588	397.574	538.907	79.410	400.781
-412.653	50.574	397.585	537.565	79.347	400.764
-411.403	50.562	397.588	536.254	79.283	400.765
-410.155	50.567	397.608	534.937	79.231	400.722
-408.927	50.594	397.612	533.588	79.134	400.760
-407.698	50.598	397.575	532.259	79.041	400.726
-406.437	50.578	397.595	530.931	78.973	400.698
-405.201	50.573	397.632	529.593	78.907	400.709
-403.972	50.578	397.645	528.290	78.852	400.684
-402.748	50.586	397.633	526.966	78.775	400.676
-401.504	50.578	397.596	525.604	78.663	400.668
-400.279	50.592	397.588	524.280	78.602	400.636
-399.052	50.599	397.579	522.949	78.559	400.620
-397.801	50.601	397.573	521.618	78.496	400.605
-396.584	50.655	397.513	520.316	78.459	400.539
-395.340	50.670	397.498	518.959	78.366	400.595
-394.113	50.676	397.498	517.624	78.276	400.581
-392.883	50.696	397.496	516.308	78.234	400.554
-391.658	50.727	397.514	514.966	78.167	400.559
-390.446	50.755	397.541	513.673	78.119	400.533
-389.230	50.806	397.552	512.356	78.076	400.512
-388.022	50.844	397.555	510.976	78.000	400.531
-386.805	50.881	397.570	509.674	77.933	400.491
-385.594	50.934	397.560	508.327	77.872	400.502
-384.353	50.958	397.578	507.000	77.843	400.472
-383.135	51.027	397.552	505.697	77.815	400.440
-381.936	51.104	397.509	504.366	77.763	400.437
-380.719	51.165	397.487	503.030	77.725	400.423
-379.517	51.236	397.490	501.687	77.651	400.430
-378.320	51.297	397.513	500.348	77.586	400.416
-377.105	51.350	397.556	499.043	77.583	400.395
-375.909	51.418	397.583	497.702	77.558	400.384
-374.697	51.493	397.558	496.386	77.533	400.374
-373.475	51.573	397.542	495.069	77.521	400.365
-372.264	51.648	397.521	493.741	77.488	400.366
-371.036	51.725	397.534	492.408	77.469	400.355
-369.837	51.804	397.523	491.058	77.404	400.336
-368.646	51.891	397.547	489.728	77.384	400.342
-367.436	51.950	397.592	488.397	77.360	400.312
-366.237	52.028	397.586	487.077	77.371	400.286
-365.036	52.120	397.581	485.766	77.352	400.281
-363.816	52.202	397.551	484.458	77.331	400.289
-362.614	52.279	397.549	483.130	77.332	400.280
-361.395	52.393	397.535	481.791	77.324	400.282
-360.187	52.466	397.519	480.448	77.291	400.272
-358.995	52.537	397.557	479.083	77.266	400.252
-357.790	52.582	397.605	477.791	77.247	400.249
-356.606	52.673	397.592	476.452	77.238	400.260
-355.395	52.765	397.579	475.136	77.254	400.240
-354.184	52.830	397.570	473.830	77.250	400.214
-352.978	52.939	397.534	472.490	77.244	400.202
-351.770	53.015	397.543	471.165	77.221	400.162
-350.576	53.082	397.562	469.807	77.229	400.149
-349.373	53.141	397.594	468.501	77.224	400.131
-348.159	53.171	397.593	467.160	77.219	400.163
-346.981	53.248	397.583	465.831	77.178	400.163
-345.778	53.317	397.590	464.515	77.187	400.134
-344.605	53.380	397.573	463.173	77.165	400.136
-343.398	53.424	397.568	461.869	77.179	400.077
-342.202	53.479	397.569	460.517	77.158	400.065
-341.004	53.536	397.557	459.225	77.168	400.039
-339.816	53.585	397.553	457.884	77.170	400.061
-338.640	53.613	397.544	456.563	77.175	400.067
-337.456	53.646	397.561	455.245	77.169	400.051
-336.302	53.659	397.554	453.897	77.152	400.063
-335.098	53.654	397.550	452.573	77.131	400.009
-333.936	53.677	397.527	451.250	77.094	400.020
-332.748	53.704	397.534	449.964	77.096	399.997
-331.593	53.701	397.548	448.645	77.074	399.999
-330.436	53.727	397.546	447.359	77.062	399.979
-329.260	53.721	397.537	446.029	77.019	399.984
-328.086	53.728	397.530	444.730	77.016	399.939
-326.919	53.750	397.514	443.399	76.996	399.922
-325.760	53.748	397.519	442.077	76.954	399.922
-324.612	53.744	397.531	440.762	76.879	399.912
-323.460	53.743	397.528	439.475	76.855	399.877
-322.282	53.730	397.570	438.178	76.795	399.851
-321.116	53.737	397.563	436.885	76.765	399.868
-319.951	53.734	397.572	435.598	76.729	399.875
-318.802	53.728	397.549	434.304	76.688	399.860
-317.626	53.704	397.571	432.995	76.609	399.876
-316.462	53.699	397.543	431.703	76.537	399.848
-315.281	53.697	397.550	430.421	76.479	399.812
-314.145	53.702	397.540	429.129	76.432	399.788
-312.980	53.678	397.559	427.847	76.364	399.783
-311.826	53.671	397.543	426.566	76.307	399.782
-310.634	53.641	397.565	425.270	76.230	399.787
-309.497	53.652	397.560	423.985	76.141	399.784
-308.324	53.656	397.565	422.725	76.069	399.753
-307.194	53.661	397.552	421.453	76.002	399.784
-306.013	53.655	397.585	420.184	75.941	399.767
-304.858	53.688	397.575	418.882	75.881	399.795
