NO_OF_FRAMES	2011
NO_OF_CAMERAS	2
NO_OF_MARKERS	3
FREQUENCY	500
NO_OF_ANALOG	0
ANALOG_FREQUENCY	0
DESCRIPTION	--
TIME_STAMP	2023-09-23, 13:53:36.434	131097.78224180
DATA_INCLUDED	3D
MARKER_NAMES	a1	a2	a3
TRAJECTORY_TYPES	Measured	Mixed	Measured
a1 X	a1 Y	a1 Z	a2 X	a2 Y	a2 Z	a3 X	a3 Y	a3 Z	
288.632	-160.453	-14.325	315.054	-184.827	-13.914	330.935	-148.519	-13.815
288.632	-160.438	-14.325	315.045	-184.828	-13.928	330.927	-148.520	-13.831
288.624	-160.443	-14.309	315.045	-184.836	-13.928	330.927	-148.528	-13.830
288.623	-160.437	-14.309	315.036	-184.821	-13.944	330.917	-148.522	-13.845
288.624	-160.434	-14.310	315.036	-184.829	-13.943	330.917	-148.514	-13.846
288.622	-160.439	-14.340	315.036	-184.838	-13.943	330.917	-148.513	-13.846
288.623	-160.454	-14.340	315.036	-184.830	-13.943	330.917	-148.514	-13.846
288.614	-160.438	-14.324	315.027	-184.831	-13.958	330.909	-148.522	-13.861
288.622	-160.439	-14.340	315.036	-184.830	-13.943	330.917	-148.522	-13.845
288.622	-160.439	-14.340	315.036	-184.830	-13.943	330.917	-148.522	-13.845
288.614	-160.438	-14.324	315.036	-184.831	-13.942	330.917	-148.506	-13.845
288.614	-160.438	-14.324	315.036	-184.822	-13.943	330.917	-148.530	-13.844
288.632	-160.438	-14.325	315.036	-184.830	-13.942	330.917	-148.514	-13.845
288.623	-160.437	-14.309	315.036	-184.822	-13.943	330.926	-148.521	-13.829
288.622	-160.432	-14.340	315.036	-184.822	-13.943	330.926	-148.505	-13.830
288.631	-160.440	-14.324	315.044	-184.822	-13.927	330.926	-148.506	-13.829
288.631	-160.440	-14.324	315.044	-184.822	-13.927	330.926	-148.506	-13.829
288.640	-160.424	-14.310	315.053	-184.821	-13.912	330.926	-148.498	-13.830
288.640	-160.424	-14.310	315.062	-184.812	-13.897	330.926	-148.504	-13.798
288.640	-160.430	-14.310	315.053	-184.812	-13.913	330.943	-148.505	-13.798
288.641	-160.437	-14.278	315.062	-184.819	-13.897	330.934	-148.498	-13.814
