NO_OF_FRAMES	2126
NO_OF_CAMERAS	2
NO_OF_MARKERS	2
FREQUENCY	500
NO_OF_ANALOG	0
ANALOG_FREQUENCY	0
DESCRIPTION	--
TIME_STAMP	2023-09-23, 10:11:39.923	117781.31538340
DATA_INCLUDED	3D
MARKER_NAMES	a	b
TRAJECTORY_TYPES	Measured	Measured
a X	a Y	a Z	b X	b Y	b Z	
-461.650	49.937	397.654	557.334	79.405	400.955
-460.743	49.981	397.668	556.516	79.369	400.974
-459.823	50.027	397.671	555.691	79.354	400.977
-458.893	50.045	397.687	554.845	79.341	400.958
-457.960	50.093	397.683	553.996	79.326	400.964
-456.993	50.114	397.687	553.109	79.320	400.941
-456.002	50.117	397.692	552.225	79.309	400.960
-455.017	50.136	397.669	551.304	79.288	400.946
-454.015	50.160	397.667	550.392	79.267	400.926
-453.022	50.178	397.658	549.456	79.246	400.910
-452.014	50.212	397.638	548.500	79.241	400.874
-450.984	50.240	397.618	547.512	79.226	400.851
-449.920	50.262	397.605	546.499	79.206	400.870
-448.862	50.285	397.582	545.494	79.181	400.871
-447.775	50.302	397.570	544.492	79.146	400.848
-446.690	50.322	397.577	543.447	79.127	400.846
-445.584	50.342	397.601	542.389	79.128	400.851
-444.477	50.397	397.606	541.339	79.116	400.846
-443.344	50.400	397.614	540.245	79.100	400.824
-442.221	50.430	397.614	539.141	79.095	400.813
-441.065	50.454	397.621	538.035	79.094	400.764
-439.899	50.478	397.640	536.888	79.083	400.739
-438.737	50.499	397.618	535.755	79.072	400.721
-437.553	50.534	397.610	534.577	79.046	400.752
-436.358	50.583	397.595	533.412	79.052	400.752
-435.152	50.608	397.561	532.235	79.029	400.759
-433.916	50.682	397.532	531.029	79.071	400.728
-432.672	50.691	397.536	529.830	79.064	400.717
-431.455	50.765	397.542	528.599	79.065	400.692
-430.203	50.800	397.557	527.361	79.037	400.680
-428.941	50.827	397.583	526.117	79.037	400.656
-427.655	50.847	397.565	524.854	79.021	400.651
-426.387	50.877	397.575	523.603	79.029	400.615
-425.080	50.904	397.620	522.305	79.019	400.662
-423.772	50.952	397.606	521.019	79.031	400.639
-422.454	51.012	397.601	519.690	79.026	400.642
-421.112	51.087	397.549	518.380	79.023	400.628
-419.775	51.157	397.534	517.064	79.028	400.602
-418.443	51.230	397.540	515.712	79.025	400.587
-417.095	51.266	397.524	514.373	79.001	400.577
-415.736	51.296	397.565	513.021	78.996	400.566
-414.382	51.363	397.578	511.648	78.996	400.574
-412.995	51.409	397.558	510.273	78.980	400.546
-411.598	51.474	397.546	508.880	78.974	400.539
-410.186	51.539	397.541	507.472	78.962	400.528
-408.772	51.619	397.521	506.062	78.963	400.519
-407.351	51.697	397.530	504.652	78.970	400.512
-405.924	51.785	397.506	503.227	78.964	400.503
-404.505	51.841	397.524	501.789	78.923	400.499
-403.076	51.889	397.551	500.356	78.904	400.477
-401.650	51.946	397.553	498.911	78.889	400.428
-400.203	52.056	397.525	497.434	78.866	400.431
-398.746	52.145	397.508	495.960	78.870	400.386
-397.307	52.249	397.520	494.507	78.860	400.393
-395.835	52.318	397.501	493.030	78.856	400.406
-394.393	52.403	397.503	491.554	78.841	400.396
-392.935	52.450	397.544	490.067	78.792	400.394
-391.466	52.515	397.506	488.601	78.768	400.352
-390.003	52.609	397.545	487.100	78.741	400.325
-388.527	52.718	397.533	485.590	78.713	400.310
-387.066	52.817	397.535	484.080	78.710	400.299
-385.594	52.902	397.548	482.602	78.673	400.303
-384.123	53.006	397.518	481.107	78.636	400.302
-382.671	53.064	397.522	479.595	78.579	400.297
-381.202	53.164	397.515	478.085	78.531	400.269
-379.724	53.255	397.533	476.548	78.483	400.245
-378.265	53.373	397.534	475.046	78.456	400.213
-376.797	53.443	397.551	473.537	78.427	400.196
-375.340	53.533	397.518	472.017	78.376	400.189
-373.877	53.619	397.514	470.477	78.289	400.200
-372.427	53.689	397.520	468.955	78.217	400.195
