NO_OF_FRAMES	1717
NO_OF_CAMERAS	2
NO_OF_MARKERS	1
FREQUENCY	500
NO_OF_ANALOG	0
ANALOG_FREQUENCY	0
DESCRIPTION	--
TIME_STAMP	2023-09-23, 10:09:02.604	117623.99684550
DATA_INCLUDED	3D
MARKER_NAMES	a
TRAJECTORY_TYPES	Measured
a X	a Y	a Z	
421.635	76.315	400.932
423.692	76.362	400.987
425.775	76.422	400.990
427.855	76.486	400.961
429.922	76.554	401.058
432.019	76.605	401.079
434.072	76.652	401.068
436.132	76.706	401.113
438.209	76.756	401.079
440.268	76.808	401.134
442.342	76.833	401.196
444.422	76.892	401.191
446.458	76.934	401.213
448.536	76.972	401.215
450.580	77.033	401.238
452.627	77.042	401.303
454.735	77.125	401.277
456.743	77.141	401.327
458.826	77.174	401.315
460.873	77.213	401.348
462.909	77.213	401.420
465.014	77.301	401.392
467.010	77.316	401.447
469.123	77.357	401.418
471.146	77.374	401.463
473.206	77.424	401.505
475.255	77.490	401.533
477.298	77.530	401.550
479.387	77.538	401.560
481.407	77.567	401.601
483.495	77.620	401.623
485.515	77.671	401.650
487.598	77.734	401.642
489.633	77.737	401.682
491.710	77.772	401.678
493.748	77.818	401.743
495.801	77.874	401.726
497.865	77.936	401.774
499.925	77.944	401.820
501.983	77.972	401.806
504.031	78.018	401.871
506.091	78.095	401.843
508.139	78.138	401.920
510.211	78.166	401.905
512.261	78.170	401.974
514.318	78.241	401.937
516.331	78.292	401.992
518.431	78.374	401.982
520.451	78.371	402.035
522.556	78.406	402.021
524.554	78.447	402.100
526.637	78.535	402.078
528.656	78.597	402.096
530.752	78.632	402.125
532.801	78.648	402.137
534.844	78.710	402.207
536.908	78.807	402.213
538.948	78.863	402.225
541.026	78.901	402.215
543.067	78.904	402.276
545.133	78.995	402.317
547.173	79.072	402.362
549.233	79.139	402.339
551.282	79.159	402.355
553.313	79.223	402.399
555.384	79.302	402.426
557.451	79.368	402.453
559.509	79.395	402.464
561.563	79.452	402.506
563.603	79.552	402.514
565.660	79.610	402.545
567.718	79.651	402.551
569.778	79.704	402.614
571.796	79.791	402.667
573.887	79.901	402.656
575.922	79.933	402.669
577.987	79.942	402.703
580.026	80.035	402.709
582.077	80.135	402.761
584.156	80.208	402.762
586.206	80.244	402.794
588.219	80.318	402.830
590.302	80.411	402.830
592.358	80.459	402.869
594.410	80.493	402.906
596.472	80.578	402.913
598.505	80.691	402.948
600.562	80.764	402.993
602.636	80.797	402.985
604.662	80.851	403.056
606.708	80.950	403.099
608.783	81.043	403.091
610.827	81.090	403.069
612.856	81.166	403.119
614.906	81.254	403.134
616.984	81.300	403.166
619.027	81.342	403.179
621.064	81.446	403.224
623.124	81.553	403.236
625.167	81.609	403.239
627.231	81.645	403.243
629.263	81.718	403.308
631.317	81.817	403.376
633.380	81.873	403.370
635.444	81.916	403.420
637.454	82.005	403.452
639.491	82.077	403.466
641.562	82.129	403.485
643.604	82.168	403.502
