NO_OF_FRAMES	1844
NO_OF_CAMERAS	2
NO_OF_MARKERS	1
FREQUENCY	500
NO_OF_ANALOG	0
ANALOG_FREQUENCY	0
DESCRIPTION	--
TIME_STAMP	2023-09-23, 10:08:10.435	117571.82842120
DATA_INCLUDED	3D
MARKER_NAMES	b
TRAJECTORY_TYPES	Measured
b X	b Y	b Z	
-540.661	50.916	397.104
-540.490	50.915	397.093
-540.321	50.927	397.081
-540.151	50.926	397.071
-539.965	50.920	397.097
-539.776	50.918	397.102
-539.596	50.919	397.083
-539.379	50.909	397.113
-539.168	50.915	397.113
-538.953	50.920	397.077
-538.723	50.919	397.093
-538.501	50.914	397.086
-538.257	50.911	397.074
-538.006	50.898	397.089
-537.735	50.900	397.101
-537.478	50.913	397.076
-537.182	50.927	397.063
-536.876	50.927	397.058
-536.581	50.924	397.065
-536.265	50.903	397.071
-535.927	50.925	397.068
-535.587	50.881	397.056
-535.225	50.907	397.031
-534.861	50.890	397.076
-534.477	50.857	397.054
-534.072	50.867	397.025
-533.672	50.891	397.032
-533.259	50.863	397.034
-532.827	50.861	397.047
-532.388	50.881	397.004
-531.929	50.901	396.973
-531.470	50.890	397.016
-530.991	50.922	397.000
-530.510	50.937	396.968
-530.014	50.967	396.971
-529.498	50.970	396.993
-528.967	50.991	396.983
-528.438	51.003	396.992
-527.895	51.026	396.972
-527.325	51.040	396.979
-526.782	51.056	396.960
-526.201	51.057	396.975
-525.613	51.092	396.932
-525.017	51.118	396.915
-524.416	51.118	396.947
-523.796	51.148	396.910
-523.195	51.160	396.942
-522.555	51.183	396.921
-521.916	51.205	396.903
-521.267	51.231	396.908
-520.608	51.252	396.905
-519.962	51.268	396.931
-519.279	51.298	396.923
-518.587	51.327	396.925
-517.915	51.375	396.925
-517.228	51.407	396.900
-516.534	51.436	396.900
-515.799	51.446	396.917
-515.073	51.476	396.924
-514.322	51.477	396.913
-513.574	51.481	396.922
-512.812	51.488	396.918
-512.025	51.513	396.892
-511.229	51.523	396.876
-510.441	51.528	396.853
-509.635	51.517	396.849
-508.809	51.532	396.859
-507.976	51.533	396.832
-507.118	51.523	396.849
-506.242	51.504	396.837
-505.361	51.501	396.854
-504.488	51.495	396.798
-503.572	51.489	396.803
-502.650	51.487	396.787
-501.717	51.473	396.764
-500.753	51.471	396.763
-499.802	51.480	396.773
-498.828	51.477	396.782
-497.832	51.476	396.789
-496.839	51.478	396.817
-495.831	51.462	396.835
-494.809	51.464	396.826
-493.803	51.475	396.846
-492.766	51.457	396.892
-491.736	51.469	396.912
-490.662	51.486	396.863
-489.611	51.497	396.901
-488.552	51.515	396.884
-487.476	51.552	396.837
-486.405	51.570	396.829
-485.308	51.592	396.802
-484.203	51.603	396.802
-483.078	51.636	396.803
-481.946	51.659	396.784
-480.821	51.725	396.735
-479.683	51.744	396.747
-478.529	51.759	396.795
-477.373	51.775	396.780
-476.178	51.762	396.802
-475.007	51.787	396.826
-473.847	51.819	396.797
-472.655	51.831	396.778
-471.453	51.860	396.782
-470.250	51.892	396.772
-469.039	51.927	396.788
-467.823	51.971	396.785
-466.589	52.034	396.752
-465.343	52.078	396.715
-464.097	52.106	396.744
-462.838	52.136	396.765
-461.573	52.142	396.769
-460.293	52.179	396.746
-459.015	52.206	396.744
-457.705	52.227	396.751
-456.381	52.243	396.749
-455.072	52.281	396.775
-453.741	52.327	396.755
-452.434	52.409	396.751
-451.078	52.450	396.779
-449.718	52.519	396.742
-448.340	52.566	396.727
-446.954	52.583	396.742
-445.561	52.625	396.721
-444.152	52.655	396.692
-442.743	52.679	396.713
-441.300	52.717	396.694
-439.854	52.769	396.720
-438.403	52.829	396.729
-436.942	52.869	396.751
-435.487	52.918	396.748
-433.980	52.973	396.725
-432.455	53.004	396.680
-430.932	53.026	396.701
-429.386	53.056	396.677
-427.844	53.096	396.674
-426.278	53.135	396.685
-424.712	53.168	396.746
-423.134	53.187	396.758
-421.544	53.233	396.778
-419.926	53.269	396.781
-418.308	53.304	396.789
-416.699	53.352	396.744
-415.066	53.394	396.703
-413.423	53.443	396.672
-411.753	53.492	396.640
-410.100	53.524	396.685
-408.452	53.551	396.708
-406.780	53.573	396.733
-405.083	53.609	396.758
-403.389	53.641	396.759
-401.692	53.682	396.746
-400.000	53.730	396.724
-398.259	53.797	396.688
-396.542	53.845	396.671
-394.834	53.868	396.697
-393.087	53.888	396.759
-391.350	53.913	396.772
-389.586	53.939	396.786
-387.828	53.996	396.776
-386.064	54.040	396.752
-384.268	54.103	396.754
-382.494	54.144	396.760
-380.722	54.198	396.771
-378.926	54.232	396.787
-377.114	54.280	396.752
-375.301	54.301	396.765
-373.486	54.329	396.781
-371.659	54.382	396.763
-369.824	54.474	396.755
-367.979	54.509	396.777
-366.140	54.566	396.778
-364.296	54.612	396.765
-362.438	54.665	396.748
-360.561	54.694	396.725
-358.705	54.744	396.732
-356.835	54.800	396.748
-354.965	54.876	396.766
-353.082	54.930	396.797
-351.219	54.991	396.771
-349.318	55.034	396.744
-347.432	55.101	396.728
-345.556	55.153	396.722
-343.699	55.239	396.701
-341.810	55.291	396.752
-339.934	55.359	396.772
-338.046	55.447	396.745
-336.149	55.497	396.705
-334.258	55.564	396.686
-332.381	55.653	396.691
-330.502	55.712	396.730
-328.632	55.798	396.761
-326.767	55.869	396.744
-324.894	55.972	396.696
-323.015	56.051	396.679
-321.142	56.145	396.696
-319.280	56.227	396.752
-317.412	56.329	396.750
-315.543	56.418	396.754
-313.666	56.522	396.742
-311.775	56.628	396.726
-309.917	56.727	396.746
-308.082	56.824	396.768
-306.218	56.931	396.778
-304.331	57.035	396.767
-302.451	57.139	396.749
-300.590	57.232	396.759
-298.720	57.310	396.783
-296.863	57.419	396.774
-294.997	57.526	396.779
-293.116	57.651	396.751
-291.251	57.741	396.779
-289.378	57.827	396.792
-287.529	57.930	396.765
-285.672	58.019	396.794
-283.791	58.119	396.801
-281.942	58.225	396.799
-280.089	58.307	396.827
-278.231	58.360	396.817
-276.389	58.438	396.818
-274.553	58.493	396.840
-272.717	58.577	396.836
-270.878	58.641	396.835
-269.047	58.677	396.830
-267.225	58.721	396.818
-265.389	58.752	396.804
-263.550	58.783	396.793
-261.729	58.789	396.808
-259.906	58.813	396.785
-258.091	58.843	396.821
-256.291	58.846	396.843
-254.470	58.860	396.845
-252.663	58.872	396.856
-250.865	58.877	396.861
-249.049	58.895	396.822
-247.238	58.877	396.803
-245.434	58.864	396.844
-243.615	58.874	396.814
-241.807	58.872	396.819
-240.012	58.875	396.834
-238.203	58.886	396.845
-236.402	58.904	396.849
-234.593	58.891	396.882
-232.792	58.908	396.894
-230.989	58.908	396.882
-229.198	58.934	396.864
-227.384	58.918	396.868
-225.562	58.920	396.845
-223.774	58.922	396.853
-221.975	58.920	396.846
-220.154	58.931	396.847
-218.360	58.943	396.889
-216.552	58.958	396.902
-214.744	58.960	396.918
-212.944	58.976	396.928
-211.150	59.003	396.890
